# ut, nt, rtc_temp, A0, voltage
1455063043,2016-02-10 00:10:43,19.00,284,515
1455063051,2016-02-10 00:10:51,19.00,317,515
1455063059,2016-02-10 00:10:59,19.00,271,515
1455063067,2016-02-10 00:11:07,19.00,282,515
1455063075,2016-02-10 00:11:15,19.00,339,517
1455063083,2016-02-10 00:11:23,19.00,340,515
1455063091,2016-02-10 00:11:31,22.00,355,515
1455063099,2016-02-10 00:11:39,22.00,325,515
1455063107,2016-02-10 00:11:47,22.00,340,516
1455063115,2016-02-10 00:11:55,22.00,483,515
1455063123,2016-02-10 00:12:03,22.00,408,515
1455063131,2016-02-10 00:12:11,22.00,337,516
1455063298,2016-02-10 00:14:58,24.25,366,514
1455063306,2016-02-10 00:15:06,24.25,365,515
1455063314,2016-02-10 00:15:14,24.25,364,516
1455063322,2016-02-10 00:15:22,24.25,353,515
1455063330,2016-02-10 00:15:30,24.25,319,515
1455063338,2016-02-10 00:15:38,24.25,278,515
1455063346,2016-02-10 00:15:46,23.50,422,515
1455063354,2016-02-10 00:15:54,23.50,395,515
1455063362,2016-02-10 00:16:02,23.50,384,515
1455063370,2016-02-10 00:16:10,23.50,285,516
1455063379,2016-02-10 00:16:19,23.50,502,515
1455063387,2016-02-10 00:16:27,23.50,415,516
1455063395,2016-02-10 00:16:35,23.50,380,516
1455063403,2016-02-10 00:16:43,23.50,516,515
1455063411,2016-02-10 00:16:51,23.75,393,517
1455063419,2016-02-10 00:16:59,23.75,355,517
1455063427,2016-02-10 00:17:07,23.75,343,516
1455063435,2016-02-10 00:17:15,23.75,332,516
1455063443,2016-02-10 00:17:23,23.75,330,515
1455063452,2016-02-10 00:17:32,23.75,298,515
1455063460,2016-02-10 00:17:40,23.75,268,516
1455063468,2016-02-10 00:17:48,23.75,295,515
1455063476,2016-02-10 00:17:56,26.50,310,515
1455063484,2016-02-10 00:18:04,26.50,314,515
1455063492,2016-02-10 00:18:12,26.50,285,515
1455063501,2016-02-10 00:18:21,26.50,313,516
1455063509,2016-02-10 00:18:29,26.50,342,516
1455063517,2016-02-10 00:18:37,26.50,329,516
1455063525,2016-02-10 00:18:45,26.50,303,516
1455063533,2016-02-10 00:18:53,26.50,340,515
1455063541,2016-02-10 00:19:01,27.00,336,515
1455063549,2016-02-10 00:19:09,27.00,312,515
1455063557,2016-02-10 00:19:17,27.00,449,515
1455063565,2016-02-10 00:19:25,27.00,338,515
1455063573,2016-02-10 00:19:33,27.00,376,515
1455063581,2016-02-10 00:19:41,27.00,330,515
1455063589,2016-02-10 00:19:49,27.00,306,515
1455063597,2016-02-10 00:19:57,25.00,320,515
1455063605,2016-02-10 00:20:05,25.00,338,517
1455063614,2016-02-10 00:20:14,25.00,337,515
1455063622,2016-02-10 00:20:22,25.00,343,515
1455063630,2016-02-10 00:20:30,25.00,338,515
1455063638,2016-02-10 00:20:38,25.00,323,515
1455063646,2016-02-10 00:20:46,25.00,346,517
1455063654,2016-02-10 00:20:54,25.00,328,515
1455063662,2016-02-10 00:21:02,23.75,344,516
1455063670,2016-02-10 00:21:10,23.75,343,516
1455063678,2016-02-10 00:21:18,23.75,326,515
1455063686,2016-02-10 00:21:26,23.75,347,515
1455063694,2016-02-10 00:21:34,23.75,353,515
1455063702,2016-02-10 00:21:42,23.75,329,515
1455063710,2016-02-10 00:21:50,23.75,347,515
1455063719,2016-02-10 00:21:59,23.75,341,515
1455063727,2016-02-10 00:22:07,23.00,329,516
1455063735,2016-02-10 00:22:15,23.00,350,515
1455063743,2016-02-10 00:22:23,23.00,351,516
1455063751,2016-02-10 00:22:31,23.00,348,517
1455063759,2016-02-10 00:22:39,23.00,328,516
1455063767,2016-02-10 00:22:47,23.00,342,516
1455063775,2016-02-10 00:22:55,23.00,357,515
1455063783,2016-02-10 00:23:03,23.00,351,515
1455063791,2016-02-10 00:23:11,22.75,348,515
1455063799,2016-02-10 00:23:19,22.75,346,515
1455063807,2016-02-10 00:23:27,22.75,328,515
1455063815,2016-02-10 00:23:35,22.75,392,516
1455063823,2016-02-10 00:23:43,22.75,353,516
1455063832,2016-02-10 00:23:52,22.75,351,516
1455063840,2016-02-10 00:24:00,22.75,347,515
1455063848,2016-02-10 00:24:08,22.75,352,515
1455063856,2016-02-10 00:24:16,22.25,366,516
1455063864,2016-02-10 00:24:24,22.25,357,515
1455063872,2016-02-10 00:24:32,22.25,353,515
1455063880,2016-02-10 00:24:40,22.25,357,515
1455063888,2016-02-10 00:24:48,22.25,355,515
1455063896,2016-02-10 00:24:56,22.25,335,516
1455063904,2016-02-10 00:25:04,22.25,347,516
1455063912,2016-02-10 00:25:12,22.25,357,516
1455063920,2016-02-10 00:25:20,22.00,352,515
1455063928,2016-02-10 00:25:28,22.00,342,516
1455063936,2016-02-10 00:25:36,22.00,331,515
1455063945,2016-02-10 00:25:45,22.00,348,516
1455063953,2016-02-10 00:25:53,22.00,354,515
1455063961,2016-02-10 00:26:01,22.00,351,515
1455063969,2016-02-10 00:26:09,22.00,333,515
1455063977,2016-02-10 00:26:17,22.00,337,515
1455063985,2016-02-10 00:26:25,21.75,354,515
1455063993,2016-02-10 00:26:33,21.75,348,516
1455064001,2016-02-10 00:26:41,21.75,330,515
1455064009,2016-02-10 00:26:49,21.75,331,516
1455064017,2016-02-10 00:26:57,21.75,349,515
1455064025,2016-02-10 00:27:05,21.75,351,515
1455064033,2016-02-10 00:27:13,21.75,349,515
1455064041,2016-02-10 00:27:21,21.75,336,515
1455064049,2016-02-10 00:27:29,21.75,345,515
1455064058,2016-02-10 00:27:38,21.75,351,515
1455064066,2016-02-10 00:27:46,21.75,357,516
1455064074,2016-02-10 00:27:54,21.75,351,516
1455064082,2016-02-10 00:28:02,21.75,346,515
1455064090,2016-02-10 00:28:10,21.75,343,516
1455064098,2016-02-10 00:28:18,21.75,338,515
1455064106,2016-02-10 00:28:26,21.75,339,515
1455064114,2016-02-10 00:28:34,21.50,346,516
1455064122,2016-02-10 00:28:42,21.50,358,515
1455064130,2016-02-10 00:28:50,21.50,355,516
1455064138,2016-02-10 00:28:58,21.50,350,516
1455064146,2016-02-10 00:29:06,21.50,348,515
1455064154,2016-02-10 00:29:14,21.50,348,516
1455064162,2016-02-10 00:29:22,21.50,330,515
1455064171,2016-02-10 00:29:31,21.50,336,515
1455064179,2016-02-10 00:29:39,21.50,351,515
1455064187,2016-02-10 00:29:47,21.50,377,516
1455064195,2016-02-10 00:29:55,21.50,338,515
1455064203,2016-02-10 00:30:03,21.50,342,516
1455064211,2016-02-10 00:30:11,21.50,330,515
1455064219,2016-02-10 00:30:19,21.50,328,515
1455064227,2016-02-10 00:30:27,21.50,339,515
1455064235,2016-02-10 00:30:35,21.50,349,515
1455064243,2016-02-10 00:30:43,21.25,356,515
1455064251,2016-02-10 00:30:51,21.25,352,516
1455064259,2016-02-10 00:30:59,21.25,346,515
1455064267,2016-02-10 00:31:07,21.25,336,516
1455064276,2016-02-10 00:31:16,21.25,350,516
1455064284,2016-02-10 00:31:24,21.25,350,516
1455064292,2016-02-10 00:31:32,21.25,345,516
1455064300,2016-02-10 00:31:40,21.25,344,515
1455064308,2016-02-10 00:31:48,21.25,339,515
1455064316,2016-02-10 00:31:56,21.25,331,515
1455064324,2016-02-10 00:32:04,21.25,335,516
1455064332,2016-02-10 00:32:12,21.25,352,516
1455064340,2016-02-10 00:32:20,21.25,353,516
1455064348,2016-02-10 00:32:28,21.25,338,516
1455064356,2016-02-10 00:32:36,21.25,333,516
1455064364,2016-02-10 00:32:44,21.25,356,515
1455064372,2016-02-10 00:32:52,21.25,353,515
1455064380,2016-02-10 00:33:00,21.25,348,515
1455064389,2016-02-10 00:33:09,21.25,337,516
1455064397,2016-02-10 00:33:17,21.25,331,515
1455064405,2016-02-10 00:33:25,21.25,341,515
1455064413,2016-02-10 00:33:33,21.25,351,515
1455064421,2016-02-10 00:33:41,21.25,353,517
1455064429,2016-02-10 00:33:49,21.25,341,515
1455064437,2016-02-10 00:33:57,21.25,334,515
1455064445,2016-02-10 00:34:05,21.25,357,517
1455064453,2016-02-10 00:34:13,21.25,349,515
1455064461,2016-02-10 00:34:21,21.25,334,517
1455064469,2016-02-10 00:34:29,21.25,340,515
1455064477,2016-02-10 00:34:37,21.25,362,516
1455064485,2016-02-10 00:34:45,21.25,350,515
1455064493,2016-02-10 00:34:53,21.00,345,515
1455064502,2016-02-10 00:35:02,21.00,334,515
1455064510,2016-02-10 00:35:10,21.00,341,515
1455064518,2016-02-10 00:35:18,21.00,359,517
1455064526,2016-02-10 00:35:26,21.00,353,515
1455064534,2016-02-10 00:35:34,21.00,338,516
1455064542,2016-02-10 00:35:42,21.00,336,515
1455064550,2016-02-10 00:35:50,21.00,349,516
1455064558,2016-02-10 00:35:58,21.00,357,515
1455064566,2016-02-10 00:36:06,21.00,351,516
1455064574,2016-02-10 00:36:14,21.00,350,515
1455064582,2016-02-10 00:36:22,21.00,343,516
1455064590,2016-02-10 00:36:30,21.00,332,515
1455064598,2016-02-10 00:36:38,21.00,358,516
1455064606,2016-02-10 00:36:46,21.00,358,515
1455064615,2016-02-10 00:36:55,21.00,337,515
1455064623,2016-02-10 00:37:03,21.00,350,515
1455064631,2016-02-10 00:37:11,21.00,333,516
1455064639,2016-02-10 00:37:19,21.00,348,515
1455064647,2016-02-10 00:37:27,21.00,351,515
1455064655,2016-02-10 00:37:35,21.00,355,515
1455064663,2016-02-10 00:37:43,21.00,352,516
1455064671,2016-02-10 00:37:51,21.00,352,516
1455064679,2016-02-10 00:37:59,21.00,344,515
1455064687,2016-02-10 00:38:07,21.00,354,517
1455064695,2016-02-10 00:38:15,21.00,342,516
1455064703,2016-02-10 00:38:23,21.00,352,516
1455064711,2016-02-10 00:38:31,21.00,504,516
1455064720,2016-02-10 00:38:40,21.00,357,515
1455064728,2016-02-10 00:38:48,21.00,360,516
1455064736,2016-02-10 00:38:56,21.00,376,515
1455064744,2016-02-10 00:39:04,21.00,357,516
1455064752,2016-02-10 00:39:12,21.00,342,515
1455064760,2016-02-10 00:39:20,21.00,444,516
1455064768,2016-02-10 00:39:28,21.00,410,516
1455064776,2016-02-10 00:39:36,21.00,379,516
1455064784,2016-02-10 00:39:44,21.00,398,515
1455064792,2016-02-10 00:39:52,21.00,374,515
1455064800,2016-02-10 00:40:00,21.00,375,515
1455064808,2016-02-10 00:40:08,21.00,385,515
1455064816,2016-02-10 00:40:16,21.00,378,515
1455064824,2016-02-10 00:40:24,21.00,360,515
1455064833,2016-02-10 00:40:33,21.00,383,515
1455064841,2016-02-10 00:40:41,21.00,375,515
1455064849,2016-02-10 00:40:49,21.00,358,515
1455064857,2016-02-10 00:40:57,21.00,373,515
1455064865,2016-02-10 00:41:05,21.00,376,515
1455064873,2016-02-10 00:41:13,21.00,362,515
1455064881,2016-02-10 00:41:21,21.00,376,515
1455064889,2016-02-10 00:41:29,21.00,374,515
1455064897,2016-02-10 00:41:37,21.00,357,516
1455064905,2016-02-10 00:41:45,21.00,366,515
1455064913,2016-02-10 00:41:53,21.00,378,515
1455064921,2016-02-10 00:42:01,21.00,371,515
1455064929,2016-02-10 00:42:09,21.00,353,516
1455064937,2016-02-10 00:42:17,21.00,377,516
1455064946,2016-02-10 00:42:26,21.00,375,516
1455064954,2016-02-10 00:42:34,21.00,360,516
1455064962,2016-02-10 00:42:42,21.00,353,516
1455064970,2016-02-10 00:42:50,21.00,376,516
1455064978,2016-02-10 00:42:58,21.00,359,516
1455064986,2016-02-10 00:43:06,21.00,360,515
1455064994,2016-02-10 00:43:14,21.00,374,516
1455065002,2016-02-10 00:43:22,21.00,360,517
1455065010,2016-02-10 00:43:30,21.00,357,515
1455065018,2016-02-10 00:43:38,21.00,374,516
1455065026,2016-02-10 00:43:46,21.00,369,515
1455065034,2016-02-10 00:43:54,21.00,353,516
1455065042,2016-02-10 00:44:02,21.00,374,516
1455065050,2016-02-10 00:44:10,21.00,360,515
1455065059,2016-02-10 00:44:19,21.00,359,515
1455065067,2016-02-10 00:44:27,21.00,363,516
1455065075,2016-02-10 00:44:35,21.00,371,515
1455065083,2016-02-10 00:44:43,21.00,370,515
1455065091,2016-02-10 00:44:51,21.00,356,515
